path,timestamp,mode,method,seed,weight_quant,pack_4d_mode,bf16_rmsnorm,warmup_ratio,lr,optimizer,scheduler,n_train,epochs,mask_seed,sr,sr_seed,accuracy,n_correct,n_eval,final_loss,mean_last50,mean_all,peak_alloc_gb,peak_reserved_gb,mem_batch,mem_seq_len,adapter,per_sample,has_diagnostics,n_truncated,status,git_commit,git_dirty
mem_4dmode/memory__oamp__Llama-3.2-3B-Instruct__bf16__rmsbf16__seed42__20260816_023116.json,,memory,oamp,42,bf16,fp8,True,0.0,0.0002,adamw,cosine,7473,2,,False,,,,,12.359477996826172,,,63.094317568,75.323408384,4,4096,False,False,False,,OK,849f1a8a6e65,True
pilot/accuracy__naive_fp4__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260814_131732.json,,accuracy,naive_fp4,42,nf4,fp4,True,0.0,0.0002,paged_adamw8bit,cosine,7473,2,,False,,32.2,161,500,0.782642051577568,0.9538063980638981,1.0228041145567657,5.322882048,10.057940992,4,4096,False,False,False,,OK,849f1a8a6e65,True
pilot/accuracy__oamp__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260814_224754.json,,accuracy,oamp,42,nf4,fp4,True,0.0,0.0002,paged_adamw8bit,cosine,7473,2,,False,,54.400000000000006,272,500,0.6786329597234726,0.8878923185169697,1.3903704995660378,5.517947904,10.424942592,4,4096,False,False,False,,OK,849f1a8a6e65,True
pilot/accuracy__random_mixed__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260814_192330.json,,accuracy,random_mixed,42,nf4,fp4,True,0.0,0.0002,paged_adamw8bit,cosine,7473,2,42,False,,50.8,254,500,0.6585478484630585,0.8830013124644757,0.9418315035440586,5.53979904,10.324279296,4,4096,False,False,False,,OK,849f1a8a6e65,True
pilot/accuracy__standard__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260814_102847.json,,accuracy,standard,42,nf4,fp4,True,0.0,0.0002,paged_adamw8bit,cosine,7473,2,,False,,56.39999999999999,282,500,0.6029836982488632,0.7930605961382389,0.8637169284179679,4.729052672,8.401190912,4,4096,False,False,False,,OK,849f1a8a6e65,True
pilot/accuracy__uniform_fp8__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260814_161935.json,,accuracy,uniform_fp8,42,nf4,fp4,True,0.0,0.0002,paged_adamw8bit,cosine,7473,2,,False,,55.400000000000006,277,500,0.6050960719585419,0.7936020004749298,0.8641684177078355,6.513776128,10.98907648,4,4096,False,False,False,,OK,849f1a8a6e65,True
pilot_gamma_baseline/accuracy__oamp__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260816_014534.json,,accuracy,oamp,42,nf4,fp4,True,0.0,0.0002,paged_adamw8bit,cosine,1200,1,42,False,,90.0,9,10,0.7702995985746384,0.9820859584212304,1.02879536430041,5.45534464,8.772386816,4,4096,True,True,True,10,OK,849f1a8a6e65,True
pilot_pack4d_fp8/accuracy__oamp__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed123__20260816_065819.json,,accuracy,oamp,123,nf4,fp8,True,0.0,0.0002,paged_adamw8bit,cosine,7473,2,123,False,,56.2,281,500,0.7382232844829559,0.801820801794529,0.864620337242807,5.721132032,8.900313088,4,4096,True,True,True,500,OK,849f1a8a6e65,True
pilot_pack4d_fp8/accuracy__oamp__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260816_033158.json,,accuracy,oamp,42,nf4,fp8,True,0.0,0.0002,paged_adamw8bit,cosine,7473,2,42,False,,53.2,266,500,0.6073256134986877,0.7953103712201118,0.8646260300048925,5.71803392,10.60110336,4,4096,True,True,True,500,OK,849f1a8a6e65,True
pilot_pack4d_fp8/accuracy__oamp__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed456__20260816_102458.json,,accuracy,oamp,456,nf4,fp8,True,0.0,0.0002,paged_adamw8bit,cosine,7473,2,456,False,,53.800000000000004,269,500,0.8005708903074265,0.8130532394349576,0.864894702587859,5.718878208,11.087642624,4,4096,True,True,True,494,OK,849f1a8a6e65,True
pilot_pack4d_fp8_matrix/accuracy__naive_fp4__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260816_165711.json,,accuracy,naive_fp4,42,nf4,fp8,True,0.0,0.0002,paged_adamw8bit,cosine,7473,2,,False,,54.2,271,500,0.6064223349094391,0.7954730260372161,0.8658313756086714,5.499753984,10.179575808,4,4096,True,True,True,500,OK,849f1a8a6e65,True
pilot_pack4d_fp8_matrix/accuracy__standard__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed456__20260816_140828.json,,accuracy,standard,456,nf4,fp8,True,0.0,0.0002,paged_adamw8bit,cosine,7473,2,,False,,53.800000000000004,269,500,0.8010358214378357,0.8116887982189656,0.8635917426679259,4.727641088,8.39909376,4,4096,True,True,True,498,OK,849f1a8a6e65,True
pilot_seed123/accuracy__oamp__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed123__20260815_104440.json,,accuracy,oamp,123,nf4,fp4,True,0.0,0.0002,paged_adamw8bit,cosine,7473,2,123,False,,41.199999999999996,206,500,0.8413187265396118,0.945570306032896,0.9771695593272274,5.534370816,8.736735232,4,4096,False,False,False,,OK,849f1a8a6e65,True
pilot_sr_lr/accuracy__oamp__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260816_003830.json,,accuracy,oamp,42,nf4,fp4,True,0.0,5e-05,paged_adamw8bit,cosine,1200,1,42,True,42,90.0,9,10,1.2405716478824615,1.4818715664744377,1.4753877775371074,5.46459136,8.753512448,4,4096,True,True,True,10,OK,849f1a8a6e65,True
pilot_var/accuracy__oamp__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed456__20260815_174220.json,,accuracy,oamp,456,nf4,fp4,True,0.0,0.0002,paged_adamw8bit,cosine,7473,2,456,False,,49.0,245,500,0.9096913188695908,0.8952613727748394,0.93989637622518,5.542255104,10.87373312,4,4096,False,False,False,,OK,849f1a8a6e65,True
pilot_var/accuracy__standard__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed123__20260815_145403.json,,accuracy,standard,123,nf4,fp4,True,0.0,0.0002,paged_adamw8bit,cosine,7473,2,,False,,55.800000000000004,279,500,0.7363999933004379,0.8004534709453582,0.8636409279589224,4.72949504,8.40957952,4,4096,False,False,False,,OK,849f1a8a6e65,True
pilot_warmup/accuracy__oamp__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260815_041316.json,,accuracy,oamp,42,nf4,fp4,True,0.03,0.0002,paged_adamw8bit,cosine,7473,2,,False,,44.2,221,500,0.723882868885994,0.8984149006009102,0.958531115429448,5.557571584,10.311696384,4,4096,False,False,False,,OK,849f1a8a6e65,True
pilot_warmup/accuracy__standard__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260815_073909.json,,accuracy,standard,42,nf4,fp4,True,0.03,0.0002,paged_adamw8bit,cosine,7473,2,,False,,57.8,289,500,0.6068796366453171,0.7964289519190788,0.8695877275750743,4.728794624,8.384413696,4,4096,False,False,False,,OK,849f1a8a6e65,True
smoke/memory__oamp__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260813_212413.json,,memory,oamp,42,nf4,fp4,True,0.03,0.0002,adamw,cosine,7473,2,,False,,,,,12.488982200622559,,,7.457875968,8.225030144,,,False,False,False,,OK,849f1a8a6e65,True
smoke/memory__oamp__Llama-3.2-3B-Instruct__nf4__seed42__20260813_210154.json,,memory,oamp,42,nf4,fp4,True,0.03,0.0002,adamw,cosine,7473,2,,False,,,,,12.488982200622559,,,7.442572288,8.56686592,,,False,False,False,,OK,849f1a8a6e65,True
verify/accuracy__standard__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260813_212725.json,,accuracy,standard,42,nf4,fp4,True,0.03,0.0002,adamw,cosine,500,1,,False,,52.0,26,50,1.2337758094072342,0.9623300467431545,1.0123421218395232,6.293297152,8.39909376,,,False,False,False,,OK,849f1a8a6e65,True
verify/accuracy__standard__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260813_214048.json,,accuracy,standard,42,nf4,fp4,True,0.0,0.0002,adamw,none,500,1,,False,,100.0,5,5,1.2233871519565582,0.9587259465456008,1.000902678668499,4.2524416,8.279556096,,,False,False,False,,OK,849f1a8a6e65,True
verify/accuracy__standard__Llama-3.2-3B-Instruct__nf4__rmsbf16__seed42__20260813_214809.json,,accuracy,standard,42,nf4,fp4,True,0.0,0.0002,paged_adamw8bit,constant,500,1,,False,,100.0,1,1,0.8704114407300949,0.9606196999549865,0.9994904170036316,3.835936768,8.254390272,,,False,False,False,,OK,849f1a8a6e65,True
verify/matrix/memory__naive_fp4__Llama-3.2-3B-Instruct__bf16__rmsbf16__seed42__20260814_010035.json,,memory,naive_fp4,42,bf16,fp4,True,0.0,0.0002,adamw,cosine,7473,2,,False,,,,,12.359477996826172,,,58.470291456,70.43284992,4,4096,False,False,False,,OK,849f1a8a6e65,True
verify/matrix/memory__oamp__Llama-3.2-3B-Instruct__bf16__rmsbf16__seed42__20260813_235444.json,,memory,oamp,42,bf16,fp4,True,0.0,0.0002,adamw,cosine,7473,2,,False,,,,,12.359477996826172,,,61.072341504,72.651636736,4,4096,False,False,False,,OK,849f1a8a6e65,True
verify/matrix/memory__oamp__Llama-3.2-3B-Instruct__bf16__rmsbf16__seed42__20260814_102046.json,,memory,oamp,42,bf16,fp4,True,0.0,0.0002,adamw,cosine,7473,2,,False,,,,,,,,,,4,4096,False,False,False,,NAN,849f1a8a6e65,True
verify/matrix/memory__standard__Llama-3.2-3B-Instruct__bf16__rmsbf16__seed42__20260813_230117.json,,memory,standard,42,bf16,fp4,True,0.0,0.0002,adamw,cosine,7473,2,,False,,,,,12.359477996826172,,,88.5462016,98.02088448,4,4096,False,False,False,,OK,849f1a8a6e65,True
verify/matrix/memory__standard__Llama-3.2-3B-Instruct__bf16__rmsbf16__seed42__20260814_090810.json,,memory,standard,42,bf16,fp4,True,0.0,0.0002,adamw,cosine,7473,2,,False,,,,,12.359477996826172,,,38.888562688,49.30404352,4,4096,False,False,False,,OK,849f1a8a6e65,True
verify/matrix/memory__uniform_fp8__Llama-3.2-3B-Instruct__bf16__rmsbf16__seed42__20260814_081106.json,,memory,uniform_fp8,42,bf16,fp4,True,0.0,0.0002,adamw,cosine,7473,2,,False,,,,,12.359477996826172,,,72.448415744,83.35130624,4,4096,False,False,False,,OK,849f1a8a6e65,True
verify/memory__standard__Llama-3.2-3B-Instruct__bf16__rmsfp32__seed42__20260813_215426.json,,memory,standard,42,bf16,fp4,False,0.03,0.0002,adamw,cosine,7473,2,,False,,,,,12.36872673034668,,,94.185181184,103.97679616,,,False,False,False,,OK,849f1a8a6e65,True
